OBJECTID,Cluster,Edge,var1,var2,BiT,p_sim,p_value,pattern005,pattern001,pattern0001
337,0,0,1.522324361,0.87547308,1.951084913778411,0.598,0.402,NS,NS,NS
338,3,1,3.6,0.278,9.347526694279999,0.927,0.07299999999999995,NS,NS,NS
339,3,1,3.6,0.278,11.041143838604444,0.972,0.028000000000000025,neg_cluster,NS,NS
340,3,1,3.6,0.278,12.878311942208311,0.974,0.026000000000000023,neg_cluster,NS,NS
341,0,0,4.801851188,0.62345466,11.255846516949182,0.935,0.06499999999999995,NS,NS,NS
342,0,0,0.906899026,17.0695618,6.183088711306643,0.274,0.274,NS,NS,NS
343,0,0,2.483283212,0.52945987,0.7550603874773886,0.34,0.34,NS,NS,NS
344,0,0,1.117314031,0.2896089,4.412991208282316,0.887,0.11299999999999999,NS,NS,NS
345,9,1,0.278,0.278,6.224630768943488,0.919,0.08099999999999996,NS,NS,NS
346,9,0,0.278,0.278,0.03108543945695892,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
347,9,0,0.278,0.278,0.03108543945695892,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
348,9,1,0.278,0.278,0.5012953841342854,0.048,0.048,pos_cluster,NS,NS
349,0,0,0.556107918,2.20193371,0.6834238504089943,0.073,0.073,NS,NS,NS
350,0,0,0.990814007,0.71228978,1.2423883481082902,0.518,0.482,NS,NS,NS
351,6,1,1.0,0.278,0.9849901715094782,0.248,0.248,NS,NS,NS
352,6,0,1.0,0.278,1.0037869584265877,0.26,0.26,NS,NS,NS
353,6,0,1.0,0.278,1.0037869584265877,0.254,0.254,NS,NS,NS
354,6,1,1.0,0.278,1.9821448797628012,0.563,0.43700000000000006,NS,NS,NS
355,0,0,5.223100801,0.20009229,5.934257057538205,0.318,0.318,NS,NS,NS
356,0,0,1.274029357,0.179785,3.465442982578913,0.739,0.261,NS,NS,NS
357,3,1,3.6,0.278,12.29362397518216,0.971,0.029000000000000026,neg_cluster,NS,NS
358,3,0,3.6,0.278,15.799816215460945,0.99,0.010000000000000009,neg_cluster,neg_cluster,NS
359,3,0,3.6,0.278,15.799816215460945,0.993,0.007000000000000006,neg_cluster,neg_cluster,NS
360,3,1,3.6,0.278,13.939832453299976,0.989,0.01100000000000001,neg_cluster,NS,NS
361,0,0,0.472624801,0.52671406,2.598080246651685,0.743,0.257,NS,NS,NS
362,0,0,0.282026474,0.49684378,2.014104929926593,0.684,0.31599999999999995,NS,NS,NS
363,9,1,0.278,0.278,1.9529947046265788,0.507,0.493,NS,NS,NS
364,9,0,0.278,0.278,0.03108543945695892,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
365,9,0,0.278,0.278,0.03108543945695892,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
366,9,0,0.278,0.278,0.03108543945695892,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
