OBJECTID,var1,var2,BiT,p_sim,p_value,pattern005,pattern001,pattern0001
51,15,22.49,0.8082980314579015,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
52,14,33.65,1.641569989032421,0.006,0.006,pos_cluster,pos_cluster,NS
53,57,66.67,2.643848292340668,0.043,0.043,pos_cluster,NS,NS
54,58,58.06,3.555447460274532,0.069,0.069,NS,NS,NS
55,24,33.0,0.15024112012087093,0.008,0.008,pos_cluster,pos_cluster,NS
56,17,42.11,2.7163582146428142,0.027,0.027,pos_cluster,NS,NS
57,13,32.43,1.29462884646638,0.002,0.002,pos_cluster,pos_cluster,NS
58,48,28.17,12.95989481746104,0.711,0.28900000000000003,NS,NS,NS
59,42,33.33,2.9683480037856094,0.251,0.251,NS,NS,NS
60,29,34.38,2.2396174579695476,0.126,0.126,NS,NS,NS
61,74,33.33,18.553823035301516,1.0,0.0,neg_cluster,neg_cluster,neg_cluster
62,55,45.16,4.119632652385169,0.667,0.33299999999999996,NS,NS,NS
63,64,25.0,13.494152649672351,1.0,0.0,neg_cluster,neg_cluster,neg_cluster
64,28,45.45,2.952958391943447,0.069,0.069,NS,NS,NS
65,82,90.48,0.2248082879070338,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
66,5,21.82,0.8546232684076813,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
67,13,21.35,1.1463129279942519,0.002,0.002,pos_cluster,pos_cluster,NS
68,58,45.45,3.825388160435016,0.224,0.224,NS,NS,NS
69,26,42.58,2.124226518162158,0.058,0.058,NS,NS,NS
70,69,86.75,0.5124087832119661,0.046,0.046,pos_cluster,NS,NS
71,31,53.66,3.275023702837773,0.414,0.414,NS,NS,NS
72,36,54.03,3.0177773171505087,0.223,0.223,NS,NS,NS
73,38,46.05,0.39240490145735485,0.012,0.012,pos_cluster,NS,NS
74,10,24.24,0.9032104529786422,0.012,0.012,pos_cluster,NS,NS
75,56,31.11,12.958030999418991,0.97,0.030000000000000027,neg_cluster,NS,NS
76,50,55.17,1.049160795418453,0.045,0.045,pos_cluster,NS,NS
77,64,58.95,4.420803230291175,0.094,0.094,NS,NS,NS
78,17,35.09,5.985148159013297,0.352,0.352,NS,NS,NS
79,7,50.0,3.904823757584828,0.55,0.44999999999999996,NS,NS,NS
80,9,17.5,0.5805169475878822,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
81,33,28.24,5.584141444472926,0.531,0.469,NS,NS,NS
82,22,45.45,1.0756291792270458,0.035,0.035,pos_cluster,NS,NS
83,8,27.27,0.7465253621005579,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
84,14,31.67,2.0230706019558626,0.005,0.005,pos_cluster,pos_cluster,NS
85,24,48.0,1.9086661580849147,0.138,0.138,NS,NS,NS
86,17,33.33,0.6439078049584939,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
87,56,47.37,2.0861579032988407,0.099,0.099,NS,NS,NS
88,36,24.14,1.711053944490289,0.011,0.011,pos_cluster,NS,NS
89,5,26.0,1.5961731659673717,0.007,0.007,pos_cluster,pos_cluster,NS
90,46,47.37,1.2718786809725864,0.027,0.027,pos_cluster,NS,NS
91,44,35.51,0.8493384746535599,0.005,0.005,pos_cluster,pos_cluster,NS
92,39,45.76,1.0628816525587845,0.079,0.079,NS,NS,NS
93,27,48.47,0.8194082074331536,0.006,0.006,pos_cluster,pos_cluster,NS
94,31,58.93,5.904991766466454,0.776,0.22399999999999998,NS,NS,NS
95,19,34.92,3.866572852778156,0.019,0.019,pos_cluster,NS,NS
96,4,23.28,0.6153874737427325,0.006,0.006,pos_cluster,pos_cluster,NS
97,11,29.31,1.676247187988599,0.007,0.007,pos_cluster,pos_cluster,NS
98,15,17.98,0.6939215222409145,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
99,74,51.61,3.782834850367194,0.338,0.338,NS,NS,NS
100,39,23.08,1.4873591268502342,0.052,0.052,NS,NS,NS
101,27,46.36,0.6573153905216822,0.019,0.019,pos_cluster,NS,NS
102,46,42.0,1.1979169996510388,0.011,0.011,pos_cluster,NS,NS
103,61,49.09,1.136763844457299,0.036,0.036,pos_cluster,NS,NS
104,39,45.45,2.397650286478126,0.023,0.023,pos_cluster,NS,NS
105,43,43.5,1.9073975714466258,0.062,0.062,NS,NS,NS
106,34,38.81,0.6029099391802711,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
107,25,35.05,0.5925846331201257,0.009,0.009,pos_cluster,pos_cluster,NS
108,16,14.06,0.28323194278259456,0.003,0.003,pos_cluster,pos_cluster,NS
109,73,77.89,0.8302451281029889,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
110,31,38.71,3.343891668556111,0.011,0.011,pos_cluster,NS,NS
111,33,46.05,0.9880310063927118,0.004,0.004,pos_cluster,pos_cluster,NS
112,58,67.92,2.3133923543853023,0.016,0.016,pos_cluster,NS,NS
113,3,49.06,9.097637153537041,0.501,0.499,NS,NS,NS
114,17,22.09,0.5282039454687474,0.002,0.002,pos_cluster,pos_cluster,NS
115,25,28.8,2.54668455698855,0.055,0.055,NS,NS,NS
116,33,21.88,2.4978554154423493,0.004,0.004,pos_cluster,pos_cluster,NS
117,7,27.59,0.8900198611276323,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
118,19,30.56,0.6708244963837966,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
119,47,15.15,3.2142342657177103,0.269,0.269,NS,NS,NS
120,19,35.92,1.3845551786414534,0.019,0.019,pos_cluster,NS,NS
121,12,30.63,1.0621347818990237,0.003,0.003,pos_cluster,pos_cluster,NS
122,67,86.44,14.982492900735474,0.585,0.41500000000000004,NS,NS,NS
123,53,77.5,1.599137858053246,0.012,0.012,pos_cluster,NS,NS
124,43,37.84,0.7998282898679678,0.011,0.011,pos_cluster,NS,NS
125,53,46.15,2.2206864716475843,0.438,0.438,NS,NS,NS
126,79,73.08,2.2992894908552355,0.01,0.01,pos_cluster,pos_cluster,NS
127,38,34.0,0.977200912999885,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
128,15,20.54,0.6726438746615818,0.002,0.002,pos_cluster,pos_cluster,NS
129,63,61.9,4.251313737214716,0.198,0.198,NS,NS,NS
130,9,36.36,1.3242692982368978,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
131,6,24.47,0.9857204353667983,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
132,21,25.0,1.0128359539853549,0.005,0.005,pos_cluster,pos_cluster,NS
133,19,37.25,3.5240498716287307,0.03,0.03,pos_cluster,NS,NS
134,6,20.69,1.273428556307403,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
135,36,24.44,10.68111224311343,0.722,0.278,NS,NS,NS
136,75,69.81,0.6478736006824649,0.028,0.028,pos_cluster,NS,NS
137,34,36.73,1.7320304206331798,0.019,0.019,pos_cluster,NS,NS
138,16,30.3,1.2930815955216672,0.002,0.002,pos_cluster,pos_cluster,NS
139,17,45.61,1.921504329106686,0.095,0.095,NS,NS,NS
140,31,31.43,0.8877406742720979,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
141,75,85.86,0.8277708061563978,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
142,66,83.33,1.7912053872275986,0.002,0.002,pos_cluster,pos_cluster,NS
143,33,36.0,0.5504770882593327,0.006,0.006,pos_cluster,pos_cluster,NS
144,67,69.1,0.41574155989001577,0.004,0.004,pos_cluster,pos_cluster,NS
145,33,20.0,4.168292105829189,0.238,0.238,NS,NS,NS
146,54,62.5,3.51403357713332,0.058,0.058,NS,NS,NS
147,62,53.64,1.2871085221788494,0.002,0.002,pos_cluster,pos_cluster,NS
148,44,35.48,1.3469391841163416,0.11,0.11,NS,NS,NS
149,32,36.03,1.7329047881230795,0.504,0.496,NS,NS,NS
150,19,14.89,6.945297211161186,0.097,0.097,NS,NS,NS
151,21,22.41,0.9523651317862246,0.009,0.009,pos_cluster,pos_cluster,NS
152,5,31.34,5.029221493663705,0.118,0.118,NS,NS,NS
153,17,27.2,0.9806928802641653,0.002,0.002,pos_cluster,pos_cluster,NS
154,41,30.91,12.970071811603113,0.924,0.07599999999999996,NS,NS,NS
155,25,35.51,1.055847443828608,0.003,0.003,pos_cluster,pos_cluster,NS
156,56,36.0,7.672288758757945,0.976,0.02400000000000002,neg_cluster,NS,NS
157,16,23.45,2.964722244079009,0.005,0.005,pos_cluster,pos_cluster,NS
158,24,45.38,1.486447562736384,0.073,0.073,NS,NS,NS
159,44,44.44,3.851177946066652,0.197,0.197,NS,NS,NS
160,30,52.0,4.359955856494265,0.336,0.336,NS,NS,NS
161,18,33.33,0.9683929853965434,0.005,0.005,pos_cluster,pos_cluster,NS
162,76,72.37,1.0470200108059355,0.018,0.018,pos_cluster,NS,NS
163,57,80.77,2.075097987156523,0.008,0.008,pos_cluster,pos_cluster,NS
164,58,48.28,4.697404247027132,0.211,0.211,NS,NS,NS
165,75,82.14,1.8193454221567968,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
166,5,35.82,2.168626789521534,0.002,0.002,pos_cluster,pos_cluster,NS
167,22,46.84,6.006464422046492,0.195,0.195,NS,NS,NS
168,65,65.96,2.7154643869707407,0.012,0.012,pos_cluster,NS,NS
169,56,76.42,1.0619900836257,0.018,0.018,pos_cluster,NS,NS
170,47,83.02,2.086482980211498,0.005,0.005,pos_cluster,pos_cluster,NS
171,72,51.52,20.787426984094466,0.997,0.0030000000000000027,neg_cluster,neg_cluster,NS
172,70,83.33,1.1338691306565247,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
173,17,40.0,1.1092694008997477,0.011,0.011,pos_cluster,NS,NS
174,59,58.93,1.1220948424741373,0.002,0.002,pos_cluster,pos_cluster,NS
175,11,26.09,2.232732633288858,0.012,0.012,pos_cluster,NS,NS
176,26,38.14,0.960208545015311,0.028,0.028,pos_cluster,NS,NS
177,83,92.31,27.3404647121853,0.902,0.09799999999999998,NS,NS,NS
178,38,25.97,1.013814565851439,0.149,0.149,NS,NS,NS
179,24,39.36,1.3413033297068937,0.002,0.002,pos_cluster,pos_cluster,NS
180,55,76.6,1.2207359782888214,0.01,0.01,pos_cluster,pos_cluster,NS
181,63,76.04,0.5925368931842545,0.003,0.003,pos_cluster,pos_cluster,NS
182,56,68.57,0.5188714762455529,0.026,0.026,pos_cluster,NS,NS
183,19,26.6,1.0432904589122243,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
184,49,47.69,0.8349415674544617,0.008,0.008,pos_cluster,pos_cluster,NS
185,48,56.57,6.9837209199698975,0.233,0.233,NS,NS,NS
186,62,88.89,2.2127192554466992,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
187,81,80.29,2.356742605148981,0.001,0.001,pos_cluster,pos_cluster,pos_cluster
